id,title,subtitle,tags,created_at,updated_at,obtained_date,temperature,conductivity,component1,component2,component3,component4,component5,component6,mol_ratio,wt_ratio,melting_temp,inorg_name,inorg_contain_ratio,crystallinity,Tg,mp,reference,special_memo
1,lit_tr1,,,2022-03-16 03:23:46,2022-03-16 04:02:10,,27.0,2e-07,1,353,,,,,0.909/0.0455,,,,,,,,10.1007/s11581-011-0640-5,"43221 Masaru Heishi a,c, Hiroki Niwa a, Takahiro Uno a, Masataka Kubo b, Takahito Itoh 2013 Division of Chemistry for Materials, Graduate School of Engineering, Mie University, 1577 Kurimamachiya-cho, Tsu, Mie 514-8507, Japan Japan Electrochimica Acta Polymer electrolytes based on polyanionic lithium salts PEO/ poly(lithium vinylsulfonate)  = 1/6(li/eo)   PEO600000/poly(lithium vinylsulfonate) mn7140"
10,lit_tr10,,,2022-03-16 04:02:10,2022-03-16 04:02:10,,69.29077401203273,0.0003980248967452458,1,364,,,,,0.734/0.133,,,,,68.0,-68.0,67.0,not available,"43221 Masaru Heishi a,c, Hiroki Niwa a, Takahiro Uno a, Masataka Kubo b, Takahito Itoh 2013 Division of Chemistry for Materials, Graduate School of Engineering, Mie University, 1577 Kurimamachiya-cho, Tsu, Mie 514-8507, Japan Japan Electrochimica Acta Polymer electrolytes based on polyanionic lithium salts PEO/ poly(lithium vinylsulfonate)  = 1/6(li/eo)   PEO600000/poly(lithium vinylsulfonate) mn7140"
100,lit_tr100,,,2022-03-16 04:02:11,2022-03-16 04:02:11,,40.131245104980565,0.00038531630097459694,1,282,364,,,,0.279/0.129/0.296,,,,,47.0,-76.0,63.0,not available,"43221 Masaru Heishi a,c, Hiroki Niwa a, Takahiro Uno a, Masataka Kubo b, Takahito Itoh 2013 Division of Chemistry for Materials, Graduate School of Engineering, Mie University, 1577 Kurimamachiya-cho, Tsu, Mie 514-8507, Japan Japan Electrochimica Acta Polymer electrolytes based on polyanionic lithium salts PEO/poly(lithium acrylate) 1/10   PEO600000/poly(lithium acrylate)"
1000,lit_tr1000,,,2022-03-16 04:02:13,2022-03-16 04:02:13,,25.82547085646911,1.417473668403422e-07,7,353,,,,,0.8333333/0.0833333,,,,,,,,10.1021/ma021734u,"43278 Noriyoshi Matsumi, Kazunori Sugai, and Hiroyuki Ohno 2003 Department of Biotechnology, Tokyo University of Agriculture & Technology Japan Macromolecules Ion Conductive Characteristics of Alkylborane Type and Boric Ester Type Polymer Electrolytes Derived from Mesitylborane  fig6 circle  PEO4+borane2/PEO4+borate"
9038,lit_tr10000,,,2022-03-16 04:02:38,2022-03-16 04:02:38,,50.0,2.3e-05,147,150,272,,,,,87/5.79959712783382/7.20040287216618,,,,,,,10.1016/0378-7753(93)80115-6,43550        table1  
9039,lit_tr10001,,,2022-03-16 04:02:38,2022-03-16 04:02:38,,80.0,0.0004,147,150,272,,,,,87/5.79959712783382/7.20040287216618,,,,,,,10.1016/0378-7753(93)80115-6,43550        table1  
1001,lit_tr1001,,,2022-03-16 04:02:13,2022-03-16 04:02:13,,24.307128247748494,1.2328464813753158e-07,7,353,,,,,0.8333333/0.0833333,,,,,,,,10.1021/ma021734u,"43278 Noriyoshi Matsumi, Kazunori Sugai, and Hiroyuki Ohno 2003 Department of Biotechnology, Tokyo University of Agriculture & Technology Japan Macromolecules Ion Conductive Characteristics of Alkylborane Type and Boric Ester Type Polymer Electrolytes Derived from Mesitylborane  fig6 circle  PEO4+borane2/PEO4+borate"
1002,lit_tr1002,,,2022-03-16 04:02:13,2022-03-16 04:02:13,,25.064322458550464,1.2990803091811791e-07,7,353,,,,,0.8333333/0.0833333,,,,,,,,10.1021/ma021734u,"43278 Noriyoshi Matsumi, Kazunori Sugai, and Hiroyuki Ohno 2003 Department of Biotechnology, Tokyo University of Agriculture & Technology Japan Macromolecules Ion Conductive Characteristics of Alkylborane Type and Boric Ester Type Polymer Electrolytes Derived from Mesitylborane  fig6 circle  PEO4+borane2/PEO4+borate"
1003,lit_tr1003,,,2022-03-16 04:02:13,2022-03-16 04:02:13,,23.77930558627952,9.827068877185459e-08,7,353,,,,,0.8333333/0.0833333,,,,,,,,10.1021/ma021734u,"43278 Noriyoshi Matsumi, Kazunori Sugai, and Hiroyuki Ohno 2003 Department of Biotechnology, Tokyo University of Agriculture & Technology Japan Macromolecules Ion Conductive Characteristics of Alkylborane Type and Boric Ester Type Polymer Electrolytes Derived from Mesitylborane  fig6 circle  PEO4+borane2/PEO4+borate"
1004,lit_tr1004,,,2022-03-16 04:02:13,2022-03-16 04:02:13,,23.028614660071355,9.164757964388879e-08,7,353,,,,,0.8333333/0.0833333,,,,,,,,10.1021/ma021734u,"43278 Noriyoshi Matsumi, Kazunori Sugai, and Hiroyuki Ohno 2003 Department of Biotechnology, Tokyo University of Agriculture & Technology Japan Macromolecules Ion Conductive Characteristics of Alkylborane Type and Boric Ester Type Polymer Electrolytes Derived from Mesitylborane  fig6 circle  PEO4+borane2/PEO4+borate"
