id,ID,subtitle,created_at,updated_at,obtained_date,Temperature,Conductivity,component1,component2,component3,component4,component5,component6,mol_ratio,wt_ratio,melting_temp,inorg_name,inorg_contain_ratio(wt),crystallinity,Tg,mp,reference,special_memo,composition
1,lit_tr1,,2022-03-16 03:23:46+00:00,2022-03-16 04:02:10.871672+00:00,,27.0,2e-07,1s,,,,,,0.909/0.0455,,,,,,,,10.1007/s11581-011-0640-5,"43221 Masaru Heishi a,c, Hiroki Niwa a, Takahiro Uno a, Masataka Kubo b, Takahito Itoh 2013 Division of Chemistry for Materials, Graduate School of Engineering, Mie University, 1577 Kurimamachiya-cho, Tsu, Mie 514-8507, Japan Japan Electrochimica Acta Polymer electrolytes based on polyanionic lithium salts PEO/ poly(lithium vinylsulfonate)  = 1/6(li/eo)   PEO600000/poly(lithium vinylsulfonate) mn7140",1s
10,lit_tr10,,2022-03-16 04:02:10.897689+00:00,2022-03-16 04:02:10.897700+00:00,,69.29077401203273,0.0003980248967452458,1s,,,,,,0.734/0.133,,,,,68.0,-68.0,67.0,not available,"43221 Masaru Heishi a,c, Hiroki Niwa a, Takahiro Uno a, Masataka Kubo b, Takahito Itoh 2013 Division of Chemistry for Materials, Graduate School of Engineering, Mie University, 1577 Kurimamachiya-cho, Tsu, Mie 514-8507, Japan Japan Electrochimica Acta Polymer electrolytes based on polyanionic lithium salts PEO/ poly(lithium vinylsulfonate)  = 1/6(li/eo)   PEO600000/poly(lithium vinylsulfonate) mn7140",1s
100,lit_tr100,,2022-03-16 04:02:11.195044+00:00,2022-03-16 04:02:11.195055+00:00,,40.131245104980565,0.00038531630097459694,1s,,,,,,0.279/0.129/0.296,,,,,47.0,-76.0,63.0,not available,"43221 Masaru Heishi a,c, Hiroki Niwa a, Takahiro Uno a, Masataka Kubo b, Takahito Itoh 2013 Division of Chemistry for Materials, Graduate School of Engineering, Mie University, 1577 Kurimamachiya-cho, Tsu, Mie 514-8507, Japan Japan Electrochimica Acta Polymer electrolytes based on polyanionic lithium salts PEO/poly(lithium acrylate) 1/10   PEO600000/poly(lithium acrylate)",1s
1000,lit_tr1000,,2022-03-16 04:02:13.794567+00:00,2022-03-16 04:02:13.794578+00:00,,25.82547085646911,1.417473668403422e-07,13s,,,,,,0.8333333/0.0833333,,,,,,,,10.1021/ma021734u,"43278 Noriyoshi Matsumi, Kazunori Sugai, and Hiroyuki Ohno 2003 Department of Biotechnology, Tokyo University of Agriculture & Technology Japan Macromolecules Ion Conductive Characteristics of Alkylborane Type and Boric Ester Type Polymer Electrolytes Derived from Mesitylborane  fig6 circle  PEO4+borane2/PEO4+borate",13s
9038,lit_tr10000,,2022-03-16 04:02:38.538771+00:00,2022-03-16 04:02:38.538783+00:00,,50.0,2.3e-05,20190326_9_MEEP,,,,,,,87/5.79959712783382/7.20040287216618,,,,,,,10.1016/0378-7753(93)80115-6,43550        table1  ,20190326_9_MEEP
9039,lit_tr10001,,2022-03-16 04:02:38.541933+00:00,2022-03-16 04:02:38.541945+00:00,,80.0,0.0004,20190326_9_MEEP,,,,,,,87/5.79959712783382/7.20040287216618,,,,,,,10.1016/0378-7753(93)80115-6,43550        table1  ,20190326_9_MEEP
1001,lit_tr1001,,2022-03-16 04:02:13.797312+00:00,2022-03-16 04:02:13.797323+00:00,,24.307128247748494,1.2328464813753158e-07,13s,,,,,,0.8333333/0.0833333,,,,,,,,10.1021/ma021734u,"43278 Noriyoshi Matsumi, Kazunori Sugai, and Hiroyuki Ohno 2003 Department of Biotechnology, Tokyo University of Agriculture & Technology Japan Macromolecules Ion Conductive Characteristics of Alkylborane Type and Boric Ester Type Polymer Electrolytes Derived from Mesitylborane  fig6 circle  PEO4+borane2/PEO4+borate",13s
1002,lit_tr1002,,2022-03-16 04:02:13.800053+00:00,2022-03-16 04:02:13.800065+00:00,,25.064322458550464,1.2990803091811791e-07,13s,,,,,,0.8333333/0.0833333,,,,,,,,10.1021/ma021734u,"43278 Noriyoshi Matsumi, Kazunori Sugai, and Hiroyuki Ohno 2003 Department of Biotechnology, Tokyo University of Agriculture & Technology Japan Macromolecules Ion Conductive Characteristics of Alkylborane Type and Boric Ester Type Polymer Electrolytes Derived from Mesitylborane  fig6 circle  PEO4+borane2/PEO4+borate",13s
1003,lit_tr1003,,2022-03-16 04:02:13.802830+00:00,2022-03-16 04:02:13.802841+00:00,,23.77930558627952,9.827068877185459e-08,13s,,,,,,0.8333333/0.0833333,,,,,,,,10.1021/ma021734u,"43278 Noriyoshi Matsumi, Kazunori Sugai, and Hiroyuki Ohno 2003 Department of Biotechnology, Tokyo University of Agriculture & Technology Japan Macromolecules Ion Conductive Characteristics of Alkylborane Type and Boric Ester Type Polymer Electrolytes Derived from Mesitylborane  fig6 circle  PEO4+borane2/PEO4+borate",13s
1004,lit_tr1004,,2022-03-16 04:02:13.805569+00:00,2022-03-16 04:02:13.805580+00:00,,23.028614660071355,9.164757964388879e-08,13s,,,,,,0.8333333/0.0833333,,,,,,,,10.1021/ma021734u,"43278 Noriyoshi Matsumi, Kazunori Sugai, and Hiroyuki Ohno 2003 Department of Biotechnology, Tokyo University of Agriculture & Technology Japan Macromolecules Ion Conductive Characteristics of Alkylborane Type and Boric Ester Type Polymer Electrolytes Derived from Mesitylborane  fig6 circle  PEO4+borane2/PEO4+borate",13s
